Country,TotalConfirmed,NewConfirmed,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered
Eritrea,39,0,0,0,39,1
Mauritania,29,9,3,1,7,0
Antigua and Barbuda,25,0,3,0,19,0
Nicaragua,25,0,8,0,7,0
Botswana,24,0,1,0,17,0
Timor-Leste,24,0,0,0,24,3
Gambia,23,0,1,0,10,0
Grenada,22,1,0,0,14,0
Bhutan,21,1,0,0,5,0
Lao PDR,19,0,0,0,14,0
Belize,18,0,2,0,16,0
Fiji,18,0,0,0,15,1
Saint Lucia,18,0,0,0,18,0
Saint Vincent and Grenadines,17,0,0,0,14,2
Dominica,16,0,0,0,15,0
Namibia,16,0,0,0,13,1
Burundi,15,0,1,0,7,0
Saint Kitts and Nevis,15,0,0,0,14,0
Holy See (Vatican City State),12,0,0,0,2,0
Comoros,11,0,1,0,3,0
Seychelles,11,0,0,0,10,0
Suriname,10,0,1,0,9,0
Papua New Guinea,8,0,0,0,8,0
Western Sahara,6,0,0,0,6,0
Lesotho,1,0,0,0,0,0
