Country,TotalConfirmed,NewConfirmed,NewDeaths,TotalDeaths,NewRecovered,TotalRecovered,Date
Ireland,23956,129,12,1518,0,19470,2020-05-16T17:44:07Z
Israel,16589,10,1,266,66,12587,2020-05-16T17:44:07Z
Italy,223885,789,242,31610,4917,120205,2020-05-16T17:44:07Z
Jamaica,511,2,0,9,3,121,2020-05-16T17:44:07Z
Japan,16203,83,16,713,470,10338,2020-05-16T17:44:07Z
Jordan,596,10,0,9,8,401,2020-05-16T17:44:07Z
Kazakhstan,5689,118,2,34,176,2707,2020-05-16T17:44:07Z
Kenya,781,23,3,45,0,284,2020-05-16T17:44:07Z
Korea (South),11037,19,2,262,30,9851,2020-05-16T17:44:07Z
Kuwait,12860,885,8,96,189,3640,2020-05-16T17:44:07Z
Kyrgyzstan,1111,29,2,14,10,745,2020-05-16T17:44:07Z
Lao PDR,19,0,0,0,0,14,2020-05-16T17:44:07Z
Latvia,970,8,0,19,35,662,2020-05-16T17:44:07Z
Lebanon,891,5,0,26,10,246,2020-05-16T17:44:07Z
Lesotho,1,0,0,0,0,0,2020-05-16T17:44:07Z
Liberia,219,4,0,20,3,108,2020-05-16T17:44:07Z
Libya,64,0,0,3,0,28,2020-05-16T17:44:07Z
Liechtenstein,82,0,0,1,0,55,2020-05-16T17:44:07Z
Lithuania,1523,12,0,54,31,965,2020-05-16T17:44:07Z
Luxembourg,3923,8,1,104,17,3682,2020-05-16T17:44:07Z
"Macedonia, Republic of",1740,17,2,97,16,1251,2020-05-16T17:44:07Z
Madagascar,238,8,0,0,4,112,2020-05-16T17:44:07Z
Malawi,63,0,0,3,0,24,2020-05-16T17:44:07Z
Malaysia,6855,36,0,112,88,5439,2020-05-16T17:44:07Z
Maldives,1031,49,0,4,4,49,2020-05-16T17:44:07Z
Mali,806,27,0,46,19,455,2020-05-16T17:44:07Z
Malta,532,10,0,6,15,458,2020-05-16T17:44:07Z
Mauritania,29,9,1,3,0,7,2020-05-16T17:44:07Z
Mauritius,332,0,0,10,0,322,2020-05-16T17:44:07Z
Mexico,45032,2437,290,4767,1976,30451,2020-05-16T17:44:07Z
Moldova,5745,192,8,202,0,2228,2020-05-16T17:44:07Z
Monaco,96,0,0,4,0,87,2020-05-16T17:44:07Z
Mongolia,98,0,0,0,5,20,2020-05-16T17:44:07Z
Montenegro,324,0,0,9,2,311,2020-05-16T17:44:07Z
Morocco,6652,45,0,190,90,3400,2020-05-16T17:44:07Z
Mozambique,119,4,0,0,7,42,2020-05-16T17:44:07Z
Myanmar,182,1,0,6,5,89,2020-05-16T17:44:07Z
Namibia,16,0,0,0,1,13,2020-05-16T17:44:07Z
